Network,airday,airtime,genre,name,premiere,runtime,seasons,status,season #,episode #,absolute #,airdate,title
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,1,1,1,10/11/2006,Pilot
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,1,2,2,10/18/2006,The Aftermath
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,1,3,3,10/25/2006,Blind Date
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,1,4,4,11/1/2006,Jack the Writer
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,1,5,5,11/16/2006,Jack-Tor
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,1,6,6,11/30/2006,Jack Meets Dennis
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,1,7,7,12/7/2006,Tracy Does Conan
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,1,8,8,12/14/2006,The Break Up
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,1,9,9,1/4/2007,The Baby Show
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,1,10,10,1/11/2007,The Rural Juror
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,1,11,11,1/18/2007,The Head and the Hair
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,1,12,12,2/1/2007,Black Tie
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,1,13,13,2/8/2007,Up All Night
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,1,14,14,2/15/2007,The 'C' Word
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,1,15,15,2/22/2007,Hard Ball
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,1,16,16,3/1/2007,The Source Awards
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,1,17,17,3/8/2007,The Fighting Irish
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,1,18,18,4/5/2007,Fireworks
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,1,19,19,4/12/2007,Corporate Crush
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,1,20,20,4/19/2007,Cleveland
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,1,21,21,4/26/2007,Hiatus
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,2,1,22,10/4/2007,Seinfeld Vision
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,2,2,23,10/11/2007,Jack Gets in the Game
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,2,3,24,10/18/2007,The Collection
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,2,4,25,10/25/2007,Rosemary's Baby
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,2,5,26,11/8/2007,Greenzo
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,2,6,27,11/15/2007,Somebody to Love
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,2,7,28,11/29/2007,Cougars
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,2,8,29,12/6/2007,Secrets & Lies
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,2,9,30,12/13/2007,Episode 209
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,2,10,31,1/10/2008,Episode 210
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,2,11,32,4/10/2008,MILF Island
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,2,12,33,4/17/2008,Subway Hero
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,2,13,34,4/24/2008,Succession
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,2,14,35,5/1/2008,Sandwich Day
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,2,15,36,5/8/2008,Cooter
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,3,1,37,10/30/2008,Do-Over
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,3,2,38,11/6/2008,Believe in the Stars
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,3,3,39,11/13/2008,The One with the Cast of 'Night Court'
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,3,4,40,11/20/2008,Gavin Volure
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,3,5,41,12/4/2008,Reunion
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,3,6,42,12/11/2008,Christmas Special
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,3,7,43,1/8/2009,Senor Macho Solo
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,3,8,44,1/15/2009,Flu Shot
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,3,9,45,1/22/2009,Retreat to Move Forward
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,3,10,46,2/5/2009,Generalissimo
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,3,11,47,2/12/2009,St. Valentine's Day
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,3,12,48,2/26/2009,Larry King
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,3,13,49,3/5/2009,Goodbye My Friend
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,3,14,50,3/12/2009,The Funcooker
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,3,15,51,3/19/2009,The Bubble
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,3,16,52,3/26/2009,Apollo Apollo
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,3,17,53,4/9/2009,Cutbacks
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,3,18,54,4/16/2009,Jackie Jormp-Jomp
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,3,19,55,4/23/2009,The Ones
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,3,20,56,4/30/2009,The Natural Order
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,3,21,57,5/7/2009,Mamma Mia
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,3,22,58,5/14/2009,Kidney Now!
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,4,1,59,10/15/2009,Season 4
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,4,2,60,10/22/2009,Into the Crevasse
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,4,3,61,10/29/2009,Stone Mountain
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,4,4,62,11/5/2009,Audition Day
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,4,5,63,11/12/2009,The Problem Solvers
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,4,6,64,11/19/2009,Sun Tea
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,4,7,65,12/3/2009,Dealbreakers Talk Show #0001
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,4,8,66,12/10/2009,Secret Santa
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,4,9,67,1/14/2010,Klaus and Greta
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,4,10,68,1/14/2010,Black Light Attack!
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,4,11,69,1/21/2010,Winter Madness
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,4,12,70,2/4/2010,Verna
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,4,13,71,2/11/2010,Anna Howard Shaw Day
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,4,14,72,3/11/2010,Future Husband
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,4,15,73,3/18/2010,Don Geiss America and Hope
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,4,16,74,3/25/2010,Floyd
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,4,17,75,4/22/2010,Lee Marvin vs. Derek Jeter
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,4,18,76,4/22/2010,Khonani
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,4,19,77,4/29/2010,Argus
NBC,Thursday,8:00 PM,Comedy,30 Rock,10/11/2006,25,8,Ended,4,20,78,5/6/2010,The Moms
